Taxa	MetaCyc_complete_name	Representative_taxa	NCBI_IDs	Taxa_range	NCBI_IDs	MetaCycID_2	name	pathClass	Class	Category
PWY-1501	PWY.1501..mandelate.degradation.I	Pseudomonas putida,	303,	Proteobacteria,	1224,	PWY-1501	mandelate degradation I	MANDELATE-DEG,Aromatic Compounds Degradation,Degradation	Aromatic Compounds Degradation	Degradation
PWY-1541	PWY.1541..superpathway.of.taurine.degradation	Rhodococcus opacus,Escherichia coli,Bilophila wadsworthia,Achromobacter superficialis,Desulfonispora thiosulfatigenes,Paracoccus denitrificans,	37919,511145,	Bacteria,	2,	PWY-1541	taurine degradation	sulfur-nitrogen metabolism	inorganic Nutrients Metabolism	Degradation
PWY-1622	PWY.1622..formaldehyde.assimilation.I..serine.pathway.	Methylobacter whittenburyi,Methylobacterium extorquens,Methylobacterium organophilum,Methylocystis echinoides,Methylocystis minimus,Methylocystis parvus,Methylocystis pyriformis,Methylosinus sporium,Methylosinus trichosporium,Hyphomicrobium methylovorum,Hyphomicrobium zavarzinii,	39770,272630,410,29468,29469,134,29470,428,426,	Bacteria,	2,	PWY-1622	formaldehyde assimilation I (serine pathway)	Formaldehyde-Assimilation,C1 Compounds Utilization and Assimilation,Degradation/Utilization/Assimilation	C1 Compounds Utilization and Assimilation	Degradation
PWY-181	PWY.181..photorespiration	Arabidopsis thaliana,		Glaucocystophyceae,Haptophyceae,Rhizaria,Stramenopiles,Cryptophyta,Euglenozoa,Rhodophyta,Cyanobacteria,Viridiplantae,	38254,2830,543769,33634,3027,33682,2763,1117,33090,	PWY-181	photorespiration	Photosynthesis,Energy-Metabolism,Pathways	Photosynthesis	Energy-Metabolism
PWY-1861	PWY.1861..formaldehyde.assimilation.II..RuMP.Cycle.	Bacillus subtilis,Methylobacillus flagellatus,Brevibacillus brevis,Methylomonas aminofaciens,Mycobacterium gastri,	1423,405,	Bacteria,	2,	PWY-1861	formaldehyde assimilation II (RuMP Cycle)	Formaldehyde-Assimilation,C1 Compounds Utilization and Assimilation,Degradation/Utilization/Assimilation	C1 Compounds Utilization and Assimilation	Degradation
PWY-1882	PWY.1882..superpathway.of.C1.compounds.oxidation.to.CO2	Methylobacillus flagellatus,Methylobacterium extorquens,Methylobacterium organophilum,Methylococcus capsulatus,Methylophilus methylotrophus,Methylosinus trichosporium,Paracoccus denitrificans,Methylomonas aminofaciens,	405,272630,410,414,2327,426,266,	Bacteria,	2,	PWY-1882	C1 Compounds Utilization and Assimilation	C1 Compounds Utilization and Assimilation	C1 Compounds Utilization and Assimilation	Degradation
PWY-2002	PWY.2002..isoflavonoid.biosynthesis.I	Cicer arietinum,Glycine max,Glycyrrhiza echinata,Glycyrrhiza glabra,Lotus japonicus,Medicago sativa,Medicago truncatula,Phaseolus vulgaris,Pueraria montana,Trifolium pratense,	3827,3847,46348,49827,34305,3879,3880,3885,3893,57577,	Fabaceae,	3803,	PWY-2002	Isoflavonoid-Phytoalexins-Biosynthesis,Phytoalexins-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Isoflavonoid-Phytoalexins-Biosynthesis,Phytoalexins-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	biosynthesis
PWY-2083	PWY.2083..isoflavonoid.biosynthesis.II	Cicer arietinum,Dianthus caryophyllus,Gerbera hybrid cultivar,Glycine max,Glycyrrhiza echinata,Glycyrrhiza glabra,Medicago sativa,Medicago truncatula,Petroselinum crispum,Pueraria montana,Trifolium pratense,	3827,3570,18101,3847,46348,49827,3879,3880,4043,3893,57577,	Gunneridae,	91827,	PWY-2083	Isoflavonoid-Phytoalexins-Biosynthesis,Phytoalexins-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Isoflavonoid-Phytoalexins-Biosynthesis,Phytoalexins-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	biosynthesis
PWY-2201	PWY.2201..folate.transformations.I	Blautia producta,Clostridium formicaceticum,Escherichia coli,Lactobacillus casei,Methylobacterium extorquens,Methylobacterium organophilum,Moorella thermoacetica,Hyphomicrobium methylovorum,Hyphomicrobium zavarzinii,Pseudomonas sp. MS,	33035,1497,511145,1582,272630,410,1525,	Eukaryota,Bacteria,Archaea,	2759,2,2157,	PWY-2201	folate transformations I	Folate-Transformations,Folate-Biosynthesis,Vitamin-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Vitamin-Biosynthesis	Biosynthesis
PWY-2221	PWY.2221..Entner.Doudoroff.pathway.III..semi.phosphorylative.	Haloarcula marismortui,Halococcus saccharolyticus,Haloferax mediterranei,Halorubrum saccharovorum,Sulfolobus solfataricus,Thermoproteus tenax,	2238,62319,2252,2248,2287,2271,	Halobacteria,Thermoprotei,	183963,183924,	PWY-2221	Entner Doudoroff pathway III semi phosphorylative	Entner-Duodoroff-Pathways,Sugars-And-Polysaccharides-Degradation,Energy-Metabolism,Carbohydrates Degradation,pathways,Degradation/Utilization/Assimilation	Carbohydrates Degradation	Degradation
PWY-2229	PWY.2229..superpathway.of.pterocarpan.biosynthesis..via.formononetin.	Cicer arietinum,Glycine max,Glycyrrhiza echinata,Glycyrrhiza glabra,Lotus japonicus,Medicago sativa,Medicago truncatula,Phaseolus vulgaris,Pisum sativum,Pueraria montana,	3827,3847,46348,49827,34305,3879,3880,3885,3888,3893,	Fabaceae,	3803,	PWY-2229	Isoflavonoid-Phytoalexins-Biosynthesis,Phytoalexins-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Isoflavonoid-Phytoalexins-Biosynthesis,Phytoalexins-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	biosynthesis
PWY-241	PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	Zea mays,	4577,	Embryophyta,	3193,	PWY-241	C4 photosynthetic carbon assimilation cycle NADP ME type	Photosynthesis,Energy-Metabolism,Pathways	Photosynthesis	Energy-Metabolism
PWY-2464	PWY.2464..maackiain.biosynthesis	Phaseolus vulgaris,Astragalus mongholicus,Cicer arietinum,Medicago sativa,Medicago truncatula,Pisum sativum,	3885,119829,3827,3879,3880,3888,	Fabaceae,	3803,	PWY-2464	maackiain biosynthesis	Isoflavonoid-Phytoalexins-Biosynthesis,Phytoalexins-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-2504	PWY.2504..superpathway.of.aromatic.compound.degradation.via.3.oxoadipate	Acinetobacter sp. ADP1,Delftia acidovorans,Pseudomonas aeruginosa,Pseudomonas fluorescens,Pseudomonas oleovorans,Pseudomonas putida,Pseudomonas putida,Pseudomonas sp. NCIB9816-4,Pseudomonas putida,Pseudomonas putida,Pseudomonas putida,Pseudomonas putida,Pseudomonas putida,Pseudomonas putida,Pseudomonas putida,Pseudomonas putida,	62977,80866,287,294,301,303,351746,110517,	Bacteria,	2,	PWY-2504	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Degradation
PWY-2541	PWY.2541..plant.sterol.biosynthesis	Nicotiana tabacum,Glycine max,Zea mays,Arabidopsis thaliana,	4097,3847,4577,	Magnoliophyta,	3398,	PWY-2541	Sterol Biosynthesis		Secondary Metabolites Biosynthesis	Biosynthesis
PWY-2723	PWY.2723..trehalose.degradation.V	Agaricus bisporus,Flammulina velutipes,Grifola frondosa,Lentinus sajor-caju,Pichia fermentans,Pleurotus ostreatus,Schizophyllum commune,	5341,38945,5627,50053,53655,5322,5334,	Fungi,	4751,	PWY-2723	trehalose degradation V	Trehalose-Degradation,Sugars-And-Polysaccharides-Degradation,Carbohydrates Degradation,Degradation/Utilization/Assimilation	Carbohydrates Degradation	Degradation
PWY-2941	PWY.2941..L.lysine.biosynthesis.II	Bacillus cereus,Bacillus circulans,Bacillus licheniformis,Bacillus megaterium,Bacillus mycoides,Bacillus pumilus,Bacillus subtilis,Brevibacillus laterosporus,Geobacillus stearothermophilus,Paenibacillus macerans,Paenibacillus polymyxa,Virgibacillus pantothenticus,	1396,1397,1402,1404,1405,1408,1423,1465,1422,44252,1406,1473,	Firmicutes,	1239,	PWY-2941	L lysine biosynthesis II	LYSINE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-2942	PWY.2942..L.lysine.biosynthesis.III	Brevibacterium,Corynebacterium glutamicum,Lysinibacillus sphaericus,Paenibacillus macerans,Proteus vulgaris,Sporosarcina globispora,Sporosarcina pasteurii,	1696,1718,1421,44252,585,1459,1474,	Bacteria,	2,	PWY-2942	L lysine biosynthesis III	LYSINE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-3001	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	Bacillus subtilis,Escherichia coli,	1423,511145,	Fungi,Viridiplantae,Bacteria,	4751,33090,2,	PWY-3001	superpathway of L isoleucine biosynthesis I	ISOLEUCINE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-3041	PWY.3041..monoterpene.biosynthesis	Abies grandis,Magnolia grandiflora,Picea abies,Solanum lycopersicum,Arabidopsis thaliana,	46611,3406,3329,4081,	Tracheophyta,	58023,	PWY-3041	monoterpenoids	terpenoids Biosynthesis,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	biosynthesis
PWY-3061	PWY.3061..menthol.biosynthesis	Mentha x piperita,Mentha spicata,	34256,29719,	Lamiaceae,	4136,	PWY-3061	monoterpenoids	terpenoids Biosynthesis,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	biosynthesis
PWY-3081	PWY.3081..L.lysine.biosynthesis.V	Aeropyrum pernix,Deinococcus radiodurans,Pyrococcus abyssi,Pyrococcus horikoshii,Sulfolobus acidocaldarius,Sulfolobus solfataricus,Sulfolobus tokodaii,Thermus thermophilus,	56636,1299,29292,53953,2285,2287,111955,274,	Archaea,Bacteria,	2157,2,	PWY-3081	L lysine biosynthesis V	LYSINE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-321	PWY.321..cutin.biosynthesis	Glycine max,Oryza sativa,Oryza sativa,Arabidopsis thaliana,	3847,39947,4530,	Viridiplantae,	33090,	PWY-321	cutin biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	biosynthesis
PWY-3301	PWY.3301..sinapate.ester.biosynthesis	Brassica napus,Raphanus sativus,Arabidopsis thaliana,	3708,3726,	Brassicaceae,	3700,	PWY-3301	cinnamate biosynthesis	Phenylpropanoid-Derivatives-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-3481	PWY.3481..superpathway.of.L.phenylalanine.and.L.tyrosine.biosynthesis	Nicotiana sylvestris,Sorghum bicolor,Spinacia oleracea,Zea mays,Arabidopsis thaliana,	4096,4558,3562,4577,	Viridiplantae,	33090,	PWY-3481	superpathway of L phenylalanine and L tyrosine biosynthesis	Amino Acids Biosynthesis,Biosynthesis,Pathways	Amino Acids Biosynthesis	Biosynthesis
PWY-3502	PWY.3502..superpathway.of.NAD.biosynthesis.in.eukaryotes	Saccharomyces cerevisiae,	4932,	Eukaryota,	2759,	PWY-3502	superpathway of NAD biosynthesis in eukaryotes	NAD-Metabolism,Cofactor-Biosynthesis,Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-3581	PWY.3581...S..reticuline.biosynthesis.I	Berberis stolonifera,Coptis japonica,Coptis japonica,Eschscholzia californica,Papaver somniferum,Thalictrum flavum,Thalictrum tuberosum,	33814,3442,397412,3467,3469,150094,79802,	Ranunculaceae,Papaveraceae,Menispermaceae,Magnoliaceae,Berberidaceae,	3440,3465,3455,3401,41773,	PWY-3581	alkaloids biosinthesis	Nitrogen-containing secondary compound bio.	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-361	PWY.361..phenylpropanoid.biosynthesis	Nicotiana tabacum,Arabidopsis thaliana,	4097,	Spermatophyta,	58024,	PWY-361	phenylpropanoid biosynthesis	Phenylpropanoid-Derivatives-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-3661	PWY.3661..glycine.betaine.degradation.I	Aphanothece halophytica,Arthrobacter,Corynebacterium sp.,Pseudomonas aeruginosa,Pseudomonas putida,Rattus norvegicus,Sinorhizobium meliloti Rm2011,	72020,1663,1720,287,303,10116,	Eukaryota,Archaea,Bacteria,	2759,2157,2,	PWY-3661	glycine betaine degradation I	Glycine-Betaine-Degradation,AMINE-DEG,Degradation	AMINE-DEG	Degradation
PWY-3781	PWY.3781..aerobic.respiration.I..cytochrome.c.	Homo sapiens,Solanum tuberosum,Arabidopsis thaliana,	9606,4113,	Bacteria,Eukaryota,	2,2759,	PWY-3781	aerobic respiration I (cytochrome c)	AEROBIC-RESPIRATION,Respiration,Energy-Metabolism,Pathways	Respiration	Energy-Metabolism
PWY-3801	PWY.3801..sucrose.degradation.II..sucrose.synthase.	Glycine max,Oryza sativa,Pisum sativum,Arabidopsis thaliana,	3847,4530,3888,	Cyanobacteria,Viridiplantae,	1117,33090,	PWY-3801	sucrose degradation II (sucrose synthase)	SUCROSE-DEG,Sugars-And-Polysaccharides-Degradation,Carbohydrates Degradation,Degradation/Utilization/Assimilation	Carbohydrates Degradation	Degradation
PWY-3841	PWY.3841..folate.transformations.II	Glycine max,Pisum sativum,Solanum lycopersicum,Solanum tuberosum,Spinacia oleracea,Arabidopsis thaliana,	3847,3888,4081,4113,3562,	Viridiplantae,	33090,	PWY-3841	folate transformations II	Folate-Transformations,Folate-Biosynthesis,Vitamin-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Vitamin-Biosynthesis	Biosynthesis
PWY-3901	PWY.3901..berberine.biosynthesis	Argemone mexicana,Coptis japonica,Corydalis saxicola,Berberis beaniana,Berberis Wilsoniae,	54796,3442,282776,	Ranunculaceae,Papaveraceae,Menispermaceae,Magnoliaceae,Berberidaceae,	3440,3465,3455,3401,41773,	PWY-3901	Alkaloids biosinthesis	Nitrogen-containing secondary compound bio.	Secondary Metabolites Biosynthesis	biosynthesis
PWY-3941	PWY.3941...beta..alanine.biosynthesis.II	Carthamus tinctorius,Phaseolus vulgaris,Pisum sativum,Triticum aestivum,	4222,3885,3888,4565,	Viridiplantae,Bacteria,	33090,2,	PWY-3941	beta alanine biosynthesis II	Beta-Alanine-Biosynthesis,Other-Amino Acids Biosynthesis,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	biosynthesis
PWY-4041	PWY.4041...gamma..glutamyl.cycle	Homo sapiens,Musca domestica,Rattus,Rattus norvegicus,Schizosaccharomyces pombe,	9606,7370,10114,10116,4896,	Metazoa,Fungi,	33208,4751,	PWY-4041	andgamma glutamyl cycle	Reductants,Cofactor-Biosynthesis,Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-4061	PWY.4061..glutathione.mediated.detoxification.I	Homo sapiens,Rattus norvegicus,Sus scrofa,	9606,10116,9823,	Opisthokonta,	33154,	PWY-4061	glutathione mediated detoxification I	Detoxification,Pathways	Detoxification	Detoxification
PWY-4161	PWY.4161..superpathway.of.benzoxazinoid.glucosides.biosynthesis	Coix lacryma-jobi,Triticum aestivum,Zea mays,	4505,4565,4577,	Magnoliophyta,	3398,	PWY-4161	superpathway of benzoxaziod	super-Pathways,Pathways	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-4202	PWY.4202..arsenate.detoxification.I..glutaredoxin.	Homo sapiens,Mus musculus,Oryctolagus cuniculus,Rattus norvegicus,	9606,10090,9986,10116,	Mammalia,	40674,	PWY-4202	arsenate detoxification I (glutaredoxin)	Arsenate-Detoxification,Detoxification,Pathways	Detoxification	Detoxification
PWY-4203	PWY.4203..volatile.benzenoid.biosynthesis.I..ester.formation.	Clarkia breweri,Arabidopsis lyrata,Arabidopsis thaliana,	36903,59689,	Magnoliophyta,	3398,	PWY-4203	Volatile benzenoids biosynthesis	Phenylpropanoid-Derivatives-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-4221	PWY.4221..pantothenate.and.coenzyme.A.biosynthesis.II..plants.	Datura inoxia,Hordeum vulgare,Lotus japonicus,Arabidopsis thaliana,	4075,4513,34305,	Viridiplantae,	33090,	PWY-4221	pantothenate and coenzyme A biosynthesis II (plants)	CoA-Biosynthesis,Cofactor-Biosynthesis,Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-4242	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	Spinacia oleracea,Arabidopsis thaliana,	3562,	Viridiplantae,	33090,	PWY-4242	pantothenate and coenzyme A biosynthesis III	CoA-Biosynthesis,Cofactor-Biosynthesis,Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-4321	PWY.4321..L.glutamate.degradation.IV	Solanum lycopersicum,Arabidopsis thaliana,Arabidopsis thaliana,	4081,	Viridiplantae,	33090,	PWY-4321	L glutamate degradation IV	GLUTAMATE-DEG,Proteinogenic-Amino-Acids-Degradation,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
PWY-4361	PWY.4361..S.methyl.5.thio..alpha..D.ribose.1.phosphate.degradation	Mus musculus,Bacillus subtilis,Bacillus subtilis,Homo sapiens,Klebsiella oxytoca,Klebsiella pneumoniae,Lupinus luteus,Oryza sativa,Solanum lycopersicum,Arabidopsis thaliana,	10090,1423,224308,9606,571,573,3873,4530,4081,	Metazoa,Archaea,Bacteria,Embryophyta,	33208,2157,2,3193,	PWY-4361	S-methyl-5-thio-alpha,-D-ribose 1-phosphate degradation	MTR-1P-Degradation,Methionine-Salvage,Nucleosides and Nucleotides Degradation,L-methionine Biosynthesis//Degradation/Utilization/Assimilation,Proteinogenic Amino Acids Biosynthesis,Amino Acids Biosynthesis	Nucleosides and Nucleotides Degradation	Degradation
PWY-4702	PWY.4702..phytate.degradation.I	Triticum spelta,Avena sativa,Hordeum vulgare,Lupinus luteus,Oryza sativa,Secale cereale,Triticum aestivum,Vicia faba,	58933,4498,4513,3873,4530,4550,4565,3906,	Viridiplantae,	33090,	PWY-4702	phytate degradation I	Phytate-Degradation,CYCLITOLS-DEG,Sugar Derivatives Degradation,Secondary Metabolites Degradation,Degradation/Utilization/Assimilation	Sugar Derivatives Degradation	Degradation
PWY-4722	PWY.4722..creatinine.degradation.II	Arthrobacter sp.,Pseudomonas putida,	1667,	Bacteria,	2,	PWY-4722	creatinine degradation II	Creatinine-Degradation,AMINE-DEG,Degradation	AMINE-DEG	Degradation
PWY-4762	PWY.4762..superpathway.of.choline.biosynthesis	Brassica napus,Glycine max,Pisum sativum,Ricinus communis,Spinacia oleracea,Arabidopsis thaliana,	3708,3847,3888,3988,3562,	Viridiplantae,	33090,	PWY-4762	superpathway of choline biosynthesis	Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-4981	PWY.4981..L.proline.biosynthesis.II..from.arginine.	Tetrahymena pyriformis,	5908,	Eukaryota,	2759,	PWY-4981	L proline biosynthesis II from arginine	PROLINE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-4984	PWY.4984..urea.cycle	Homo sapiens,	9606,	Bacteria,Eukaryota,	2,2759,	PWY-4984	urea cycle	NITROGEN-DEG,Inorganic Nutrients Metabolism,Degradation/Utilization/Assimilation	Inorganic Nutrients Metabolism	Degradation
PWY-5004	PWY.5004..superpathway.of.L.citrulline.metabolism	Homo sapiens,Arabidopsis thaliana,	9606,	Viridiplantae,Metazoa,	33090,33208,	PWY-5004	superpathway of L citrulline metabolism	Citrulline-Biosynthesis,Other-Amino Acids Biosynthesis,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-5005	PWY.5005..biotin.biosynthesis.II	Bacillus subtilis,Lysinibacillus sphaericus,Methylobacillus flagellatus,	1423,1421,405,	Bacteria,	2,	PWY-5005	biotin biosynthesis II	BIOTIN-SYN,Vitamin-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Vitamin-Biosynthesis	Biosynthesis
PWY-5022	PWY.5022..4.aminobutanoate.degradation.V	Clostridium aminobutyricum,	33953,	Firmicutes,	1239,	PWY-5022	4 aminobutanoate degradation V	4-Aminobutyraye-Degradation,AMINE-DEG,Degradation	AMINE-DEG	Degradation
PWY-5028	PWY.5028..L.histidine.degradation.II	Pseudomonas putida,Pseudomonas fluorescens,Pseudomonas aeruginosa,	303,294,287,	Proteobacteria,	1224,	PWY-5028	L-histidine degradation II	HISTIDINE-DEG,Proteinogenic-Amino-Acids-Degradation,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
PWY-5030	PWY.5030..L.histidine.degradation.III	Mammalia,Homo sapiens,Rattus norvegicus,	40674,9606,10116,			PWY-5030	L histidine degradation III	HISTIDINE-DEG,Proteinogenic-Amino-Acids-Degradation,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
PWY-5044	PWY.5044..purine.nucleotides.degradation.I..plants.	Camellia sinensis,Catharanthus roseus,Glycine max,Lupinus luteus,Solanum tuberosum,Arabidopsis thaliana,	4442,4058,3847,3873,4113,	Embryophyta,	3193,	PWY-5044	purine nucleotides degradation I (plants)	Purine-Degradation,Nucleosides and Nucleotides Degradation,Degradation/Utilization/Assimilation	Nucleosides and Nucleotides Degradation	Degradation
PWY-5049	PWY.5049..rosmarinic.acid.biosynthesis.II	Melissa officinalis,Portulaca grandiflora,Solenostemon scutellarioides,	39338,3583,4142,	Tracheophyta,	58023,	PWY-5049	Cinnamate biosynthesis	Phenylpropanoid-Derivatives-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-5055	PWY.5055..nicotinate.degradation.III	Eubacterium barkeri,	1528,	Firmicutes,	1239,	PWY-5055	nicotinate degradation III	Nicotinate-Degradation,Aromatic Compounds Degradation,Degradation	Aromatic Compounds Degradation	Degradation
PWY-5062	PWY.5062..superpathway.of.nicotinate.degradation	Bacillus niacini,Eubacterium barkeri,Pseudomonas fluorescens,Pseudomonas putida,	86668,1528,294,303,	Bacteria,	2,	PWY-5062	Superpathway of nicotine	Nicotinate-Degradation,Aromatic Compounds Degradation,Degradation	Aromatic Compounds Degradation	Degradation
PWY-5067	PWY.5067..glycogen.biosynthesis.II..from.UDP.D.Glucose.	Homo sapiens,Neurospora crassa,Oryctolagus cuniculus,Rattus norvegicus,Saccharomyces cerevisiae,	9606,5141,9986,10116,4932,	Fungi,Metazoa,	4751,33208,	PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)	Glycogen-biosynthesis,polysacharides biosynthesis	Carbohydrates Biosynthesis	Biosynthesis
PWY-5079	PWY.5079..L.phenylalanine.degradation.III	Saccharomyces cerevisiae,	4932,	Fungi,	4751,	PWY-5079	L phenylalanine degradation III	PHENYLALANINE-DEG,Proteinogenic-Amino-Acids-Degradation,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
PWY-5080	PWY.5080..very.long.chain.fatty.acid.biosynthesis.I	Brassica napus,Homo sapiens,Limnanthes alba,Saccharomyces cerevisiae,Arabidopsis thaliana,	3708,9606,42439,4932,	Bacteria,Eukaryota,	2,2759,	PWY-5080	very long chain fatty acid biosynthesis	Fatty-acid-biosynthesis,Lipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-5081	PWY.5081..L.tryptophan.degradation.VIII..to.tryptophol.	Saccharomyces cerevisiae,	4932,	Fungi,	4751,	PWY-5081	L tryptophan degradation VIII to tryptophol	TRYPTOPHAN-DEG,Proteinogenic-Amino-Acids-Degradation,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
PWY-5083	PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation	Avena sativa,Solanum tuberosum,Spinacia oleracea,Zea mays,Arabidopsis thaliana,	4498,4113,3562,4577,	Fungi,Viridiplantae,	4751,33090,	PWY-5083	NAD NADH phosphorylation and dephosphorylation	NAD-Metabolism,Cofactor-Biosynthesis,Biosynthesis	NAD-Metabolism	Biosynthesis
PWY-5088	PWY.5088..L.glutamate.degradation.VIII..to.propanoate.	Anaeromusa acidaminophila,Barkera propionica,	81464,	Firmicutes,	1239,	PWY-5088	L glutamate degradation VIII to propanoate	Fermentation,Energy-Metabolism,Pathways	Fermentation	Energy-Metabolism
PWY-5097	PWY.5097..L.lysine.biosynthesis.VI	Nicotiana tabacum,Chlamydia trachomatis,Glycine max,Methanocaldococcus jannaschii,Methanothermobacter thermautotrophicus,Synechocystis,Zea mays,Arabidopsis thaliana,	4097,813,3847,2190,145262,1142,4577,	Methanococci,Methanobacteria,PVC group,Cyanobacteria,Magnoliophyta,	183939,183925,1783257,1117,3398,	PWY-5097	L lysine biosynthesis VI	LYSINE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-5098	PWY.5098..chlorophyll.a.degradation.I	Nicotiana tabacum,Brassica napus,Raphanus sativus,Solanum lycopersicum,Zea mays,Arabidopsis thaliana,	4097,3708,3726,4081,4577,	Viridiplantae,	33090,	PWY-5098	Chlorophyll a Degradation	Heme compounts degradation	Cofactor-Degradation	Degradation
PWY-5100	PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II	Thermotoga maritima,	2336,	Bacteria,	2,	PWY-5100	pyruvate fermentation to acetate and lactate II	Pyruvate-Degradation,Fermentation,Energy-Metabolism,Pathways	Fermentation	Energy-Metabolism
PWY-5101	PWY.5101..L.isoleucine.biosynthesis.II	Ignicoccus hospitalis,Leptospira biflexa,Leptospira interrogans,Leptospira interrogans,Leptospira interrogans,Methanobacterium bryantii,Methanobrevibacter arboriphilus,Methanobrevibacter smithii,Methanocaldococcus jannaschii,Methanococcus aeolicus,Methanococcus voltae,Methanosarcina barkeri,Methanothermobacter thermautotrophicus,	160233,145259,173,312175,189518,2161,39441,2173,2190,42879,2188,2208,145262,	Thermoprotei,Methanomicrobia,Methanobacteria,Spirochaetes <phylum>,Methanococci,	183924,224756,183925,203691,183939,	PWY-5101	L isoleucine biosynthesis II	ISOLEUCINE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-5103	PWY.5103..L.isoleucine.biosynthesis.III	Escherichia coli,Escherichia coli Crookes,	566546,	Proteobacteria,	1224,	PWY-5103	L isoleucine biosynthesis III	ISOLEUCINE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
